Game,Step,Reward
0,1,-0.01
0,2,-0.01
0,3,0.01
0,4,0.01
0,5,-0.01
0,6,-0.01
0,7,-0.01
0,8,-0.01
0,9,0.01
0,10,-0.01
0,11,0.01
0,12,-0.01
0,13,0.01
0,14,0.01
0,15,-0.01
0,16,-0.01
0,17,-0.01
0,18,-0.01
0,19,0.01
0,20,-0.01
0,21,-0.01
0,22,-0.01
0,23,-0.01
0,24,-0.01
0,25,-0.01
0,26,0.01
0,27,-0.01
0,28,-0.01
0,29,-0.01
0,30,0.01
0,31,-0.01
0,32,-0.01
0,33,-0.01
0,34,0.01
0,35,0.01
0,36,0.01
0,37,-0.01
0,38,-0.01
0,39,0.01
0,40,-0.01
0,41,-0.01
0,42,-0.01
0,43,-0.01
0,44,-0.01
0,45,-0.01
0,46,-0.01
0,47,0.01
0,48,-0.01
0,49,-0.01
0,50,0.01
0,51,-0.01
0,52,-0.01
0,53,0.01
0,54,0.01
0,55,-0.01
0,56,0.01
0,57,0.01
0,58,-0.01
0,59,-0.01
0,60,-0.01
0,61,-0.01
0,62,0.01
0,63,-0.01
0,64,-0.01
0,65,0.01
0,66,-0.01
0,67,-0.01
0,68,-0.01
0,69,-0.01
0,70,-0.01
0,71,0.01
0,72,-0.01
0,73,-0.01
0,74,0.01
0,75,0.01
0,76,-0.01
0,77,0.01
0,78,-0.01
1,79,-1
1,1,-0.01
1,2,-0.01
1,3,-0.01
1,4,-0.01
1,5,0.01
1,6,0.01
1,7,0.01
1,8,-0.01
1,9,0.01
1,10,-0.01
1,11,-0.01
1,12,-0.01
1,13,-0.01
1,14,-0.01
1,15,-0.01
1,16,-0.01
1,17,-0.01
1,18,-0.01
1,19,-0.01
1,20,-0.01
1,21,-0.01
1,22,-0.01
1,23,-0.01
1,24,-0.01
1,25,-0.01
1,26,-0.01
1,27,-0.01
1,28,-0.01
1,29,-0.01
1,30,-0.01
1,31,-0.01
1,32,-0.01
1,33,0.01
1,34,0.01
1,35,-0.01
1,36,0.01
1,37,0.01
1,38,-0.01
1,39,-0.01
1,40,-0.01
1,41,-0.01
1,42,-0.01
1,43,0.01
1,44,-0.01
1,45,-0.01
1,46,-0.01
1,47,-0.01
1,48,-0.01
1,49,-0.01
1,50,-0.01
1,51,-0.01
1,52,-0.01
1,53,-0.01
1,54,-0.01
1,55,-0.01
1,56,-0.01
1,57,-0.01
1,58,-0.01
1,59,-0.01
1,60,0.01
1,61,-0.01
1,62,-0.01
1,63,-0.01
1,64,-0.01
1,65,0.01
1,66,0.01
1,67,0.01
1,68,0.01
1,69,-0.01
1,70,0.01
1,71,0.01
1,72,0.01
1,73,0.01
1,74,-0.01
1,75,-0.01
1,76,0.01
1,77,-0.01
1,78,0.01
2,79,-1
2,1,-0.01
2,2,-0.01
2,3,-0.01
2,4,-0.01
2,5,-0.01
2,6,0.01
2,7,0.01
2,8,0.01
2,9,-0.01
2,10,0.01
2,11,0.01
2,12,-0.01
2,13,-0.01
2,14,-0.01
2,15,-0.01
2,16,-0.01
2,17,0.01
2,18,-0.01
2,19,-0.01
2,20,-0.01
2,21,0.01
2,22,-0.01
2,23,-0.01
2,24,-0.01
2,25,0.01
2,26,-0.01
2,27,0.01
2,28,-0.01
2,29,0.01
2,30,0.01
2,31,-0.01
2,32,0.01
2,33,0.01
2,34,0.01
2,35,-0.01
2,36,0.01
2,37,-0.01
3,38,-1
3,1,-0.01
3,2,-0.01
3,3,-0.01
3,4,-0.01
3,5,-0.01
3,6,-0.01
3,7,0.01
3,8,-0.01
3,9,-0.01
3,10,-0.01
3,11,-0.01
3,12,-0.01
3,13,0.01
3,14,0.01
3,15,-0.01
3,16,-0.01
3,17,0.01
3,18,0.01
3,19,-0.01
3,20,-0.01
3,21,-0.01
3,22,-0.01
3,23,0.01
