Game,Step,Reward
0,1,0
0,2,0
0,3,-0.01
0,4,0
0,5,0
0,6,0
0,7,-0.01
0,8,-0.01
0,9,-0.01
0,10,-0.01
0,11,-0.01
0,12,-0.01
0,13,-0.01
0,14,0
0,15,0
0,16,0
0,17,-0.01
0,18,-0.01
0,19,-0.01
0,20,0
0,21,-0.01
0,22,0
0,23,0
0,24,0
0,25,-0.01
0,26,-0.01
0,27,0
0,28,0
0,29,0
0,30,0
0,31,-0.01
0,32,0
0,33,-0.01
0,34,0
0,35,-0.01
0,36,-0.01
0,37,-0.01
0,38,-0.01
0,39,0
0,40,-0.01
0,41,0
0,42,-0.01
0,43,-0.01
0,44,-0.01
0,45,0
0,46,-0.01
0,47,0
0,48,-0.01
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,-0.01
0,55,0
0,56,0
0,57,-0.01
0,58,0
0,59,-0.01
0,60,-0.01
0,61,-0.01
0,62,0
0,63,-0.01
0,64,-0.01
0,65,-0.01
0,66,-0.01
0,67,-0.01
0,68,-0.01
0,69,0
0,70,-0.01
0,71,-0.01
0,72,-0.01
0,73,-0.01
0,74,-0.01
0,75,-0.01
0,76,-0.01
0,77,0
0,78,-0.01
0,79,0
0,80,0
0,81,-0.01
0,82,-0.01
0,83,-0.01
0,84,0
0,85,0
0,86,-0.01
0,87,0
0,88,-0.01
0,89,-0.01
0,90,-0.01
0,91,0
0,92,-0.01
0,93,0
0,94,0
0,95,0
0,96,-0.01
0,97,0
0,98,-0.01
0,99,0
0,100,-0.01
0,101,0
0,102,0
0,103,-0.01
0,104,0
0,105,-0.01
0,106,0
0,107,0
0,108,0
0,109,0
0,110,-0.01
0,111,-0.01
0,112,0
0,113,0
0,114,-0.01
0,115,-0.01
0,116,-0.01
0,117,0
0,118,-0.01
0,119,0
0,120,0
0,121,0
0,122,-0.01
0,123,0
0,124,-0.01
0,125,-0.01
0,126,0
0,127,0
0,128,0
0,129,-0.01
0,130,0
0,131,-0.01
0,132,0
0,133,0
0,134,0
0,135,0
0,136,0
0,137,0
0,138,0
0,139,0
0,140,0
0,141,-0.01
0,142,0
0,143,-0.01
0,144,0
0,145,-0.01
0,146,-0.01
0,147,-0.01
0,148,-0.01
0,149,-0.01
0,150,-0.01
0,151,-0.01
0,152,-0.01
0,153,-0.01
0,154,-0.01
0,155,-0.01
0,156,-0.01
0,157,-0.01
0,158,-0.01
0,159,-0.01
0,160,0
0,161,-0.01
0,162,0
0,163,-0.01
0,164,0
0,165,-0.01
0,166,-0.01
0,167,0
0,168,-0.01
1,169,-1
1,1,-0.01
1,2,-0.01
1,3,-0.01
1,4,0
1,5,-0.01
1,6,-0.01
1,7,0
1,8,-0.01
1,9,0
1,10,-0.01
1,11,-0.01
1,12,-0.01
1,13,-0.01
1,14,-0.01
1,15,-0.01
1,16,-0.01
1,17,0
1,18,0
1,19,-0.01
1,20,-0.01
1,21,-0.01
1,22,-0.01
1,23,-0.01
1,24,-0.01
1,25,-0.01
1,26,-0.01
1,27,-0.01
1,28,-0.01
1,29,0
1,30,0
1,31,0
1,32,0
1,33,-0.01
1,34,0
1,35,0
1,36,-0.01
1,37,-0.01
1,38,0
1,39,-0.01
1,40,0
1,41,0
1,42,-0.01
1,43,-0.01
1,44,-0.01
1,45,0
1,46,0
1,47,-0.01
1,48,-0.01
1,49,-0.01
1,50,-0.01
1,51,0
1,52,0
1,53,-0.01
1,54,0
1,55,-0.01
1,56,0
1,57,0
1,58,-0.01
1,59,0
1,60,0
1,61,-0.01
1,62,-0.01
