Game,Step,Reward
0,1,-0.01
0,2,-0.01
0,3,-0.01
0,4,-0.01
0,5,0
0,6,-0.01
0,7,-0.01
0,8,0
0,9,0
0,10,-0.01
0,11,0
0,12,0
0,13,0
0,14,-0.01
0,15,0
0,16,0
0,17,0
0,18,0
0,19,-0.01
0,20,-0.01
0,21,-0.01
0,22,0
0,23,0
0,24,-0.01
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,-0.01
0,35,-0.01
0,36,-0.01
0,37,0
0,38,-0.01
0,39,-0.01
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,-0.01
0,46,0
0,47,0
0,48,-0.01
0,49,-0.01
1,50,1
1,1,-0.01
1,2,0
1,3,0
1,4,-0.01
1,5,-0.01
1,6,-0.01
1,7,0
1,8,0
1,9,0
1,10,0
1,11,-0.01
1,12,0
1,13,-0.01
1,14,0
1,15,0
1,16,-0.01
1,17,-0.01
1,18,-0.01
1,19,-0.01
1,20,0
1,21,0
1,22,-0.01
1,23,0
1,24,-0.01
1,25,-0.01
1,26,-0.01
1,27,0
2,28,-1
2,1,-0.01
2,2,-0.01
2,3,-0.01
2,4,-0.01
2,5,0
2,6,-0.01
2,7,-0.01
2,8,-0.01
2,9,-0.01
2,10,-0.01
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,-0.01
2,17,-0.01
2,18,-0.01
2,19,0
2,20,-0.01
2,21,-0.01
3,22,1
3,1,-0.01
3,2,0
3,3,-0.01
3,4,-0.01
3,5,-0.01
3,6,-0.01
3,7,0
3,8,-0.01
3,9,0
3,10,0
3,11,-0.01
3,12,-0.01
3,13,-0.01
3,14,-0.01
3,15,-0.01
3,16,0
3,17,-0.01
3,18,0
3,19,-0.01
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,-0.01
3,26,0
3,27,0
3,28,-0.01
3,29,0
3,30,0
3,31,0
3,32,-0.01
4,33,-1
4,1,-0.01
4,2,0
4,3,-0.01
4,4,-0.01
4,5,0
4,6,0
4,7,-0.01
4,8,0
4,9,-0.01
4,10,0
4,11,-0.01
4,12,-0.01
4,13,0
4,14,0
4,15,-0.01
4,16,0
4,17,-0.01
4,18,0
4,19,0
4,20,0
4,21,0
4,22,-0.01
4,23,-0.01
4,24,-0.01
4,25,0
4,26,0
4,27,-0.01
4,28,-0.01
4,29,-0.01
5,30,-1
5,1,-0.01
5,2,-0.01
5,3,-0.01
5,4,0
5,5,-0.01
5,6,0
5,7,0
5,8,0
5,9,0
5,10,-0.01
5,11,-0.01
5,12,-0.01
5,13,0
5,14,-0.01
5,15,0
5,16,0
5,17,0
5,18,-0.01
5,19,-0.01
5,20,0
5,21,-0.01
5,22,-0.01
5,23,0
5,24,-0.01
5,25,-0.01
5,26,-0.01
5,27,0
5,28,0
5,29,0
5,30,-0.01
5,31,0
5,32,-0.01
5,33,0
5,34,-0.01
5,35,0
5,36,0
5,37,0
5,38,-0.01
5,39,0
5,40,-0.01
5,41,0
5,42,-0.01
5,43,0
5,44,0
5,45,-0.01
5,46,-0.01
5,47,-0.01
5,48,-0.01
5,49,0
5,50,0
5,51,0
5,52,-0.01
6,53,-1
6,1,-0.01
6,2,-0.01
6,3,0
6,4,0
6,5,-0.01
6,6,-0.01
6,7,0
6,8,-0.01
6,9,-0.01
6,10,-0.01
6,11,-0.01
6,12,0
6,13,0
6,14,0
6,15,0
6,16,-0.01
6,17,0
6,18,-0.01
6,19,-0.01
6,20,-0.01
6,21,0
6,22,0
6,23,0
6,24,0
6,25,0
6,26,-0.01
6,27,-0.01
6,28,0
6,29,-0.01
6,30,0
6,31,-0.01
6,32,0
6,33,-0.01
6,34,0
6,35,0
6,36,0
6,37,-0.01
6,38,0
